Datetime,Energy
2024-01-01 00:00:00,77.19
2024-01-01 01:00:00,83.55
2024-01-01 02:00:00,93.44
2024-01-01 03:00:00,94.8
2024-01-01 04:00:00,101.46
2024-01-01 05:00:00,109.04
2024-01-01 06:00:00,102.68
2024-01-01 07:00:00,106.06
2024-01-01 08:00:00,103.47
2024-01-01 09:00:00,89.38
2024-01-01 10:00:00,80.05
2024-01-01 11:00:00,82.91
2024-01-01 12:00:00,81.33
2024-01-01 13:00:00,75.42
2024-01-01 14:00:00,73.51
2024-01-01 15:00:00,62.26
2024-01-01 16:00:00,58.65
2024-01-01 17:00:00,62.41
2024-01-01 18:00:00,55.57
2024-01-01 19:00:00,72.71
2024-01-01 20:00:00,53.46
2024-01-01 21:00:00,80.16
2024-01-01 22:00:00,61.49
2024-01-01 23:00:00,68.41
2024-01-02 00:00:00,85.7
2024-01-02 01:00:00,79.34
2024-01-02 02:00:00,93.06
2024-01-02 03:00:00,95.51
2024-01-02 04:00:00,94.83
2024-01-02 05:00:00,95.34
2024-01-02 06:00:00,96.5
2024-01-02 07:00:00,95.74
2024-01-02 08:00:00,99.11
2024-01-02 09:00:00,90.55
2024-01-02 10:00:00,88.52
2024-01-02 11:00:00,73.06
2024-01-02 12:00:00,80.85
2024-01-02 13:00:00,73.32
2024-01-02 14:00:00,68.11
2024-01-02 15:00:00,61.93
2024-01-02 16:00:00,55.91
2024-01-02 17:00:00,59.85
2024-01-02 18:00:00,57.53
2024-01-02 19:00:00,52.26
2024-01-02 20:00:00,73.68
2024-01-02 21:00:00,64.12
2024-01-02 22:00:00,63.81
2024-01-02 23:00:00,79.22
2024-01-03 00:00:00,78.33
2024-01-03 01:00:00,87.23
2024-01-03 02:00:00,85.96
2024-01-03 03:00:00,101.92
2024-01-03 04:00:00,97.6
2024-01-03 05:00:00,95.64
2024-01-03 06:00:00,101.47
2024-01-03 07:00:00,96.07
2024-01-03 08:00:00,106.85
2024-01-03 09:00:00,97.57
2024-01-03 10:00:00,82.47
2024-01-03 11:00:00,84.99
2024-01-03 12:00:00,78.86
2024-01-03 13:00:00,82.57
2024-01-03 14:00:00,82.81
2024-01-03 15:00:00,68.76
2024-01-03 16:00:00,67.98
2024-01-03 17:00:00,53.72
2024-01-03 18:00:00,54.77
2024-01-03 19:00:00,56.16
2024-01-03 20:00:00,51.6
2024-01-03 21:00:00,67.12
2024-01-03 22:00:00,77.19
2024-01-03 23:00:00,75.76
2024-01-04 00:00:00,80.46
2024-01-04 01:00:00,87.27
2024-01-04 02:00:00,83.62
2024-01-04 03:00:00,96.09
2024-01-04 04:00:00,100.62
2024-01-04 05:00:00,94.92
2024-01-04 06:00:00,97.0
2024-01-04 07:00:00,101.97
2024-01-04 08:00:00,101.46
2024-01-04 09:00:00,90.89
2024-01-04 10:00:00,87.81
2024-01-04 11:00:00,90.88
2024-01-04 12:00:00,84.71
2024-01-04 13:00:00,67.39
2024-01-04 14:00:00,71.13
2024-01-04 15:00:00,69.04
2024-01-04 16:00:00,60.87
2024-01-04 17:00:00,55.34
2024-01-04 18:00:00,58.02
2024-01-04 19:00:00,54.62
2024-01-04 20:00:00,65.96
2024-01-04 21:00:00,67.7
2024-01-04 22:00:00,73.0
2024-01-04 23:00:00,70.13
2024-01-05 00:00:00,73.77
2024-01-05 01:00:00,89.48
2024-01-05 02:00:00,80.74
2024-01-05 03:00:00,92.87
2024-01-05 04:00:00,103.14
2024-01-05 05:00:00,97.38
2024-01-05 06:00:00,111.3
2024-01-05 07:00:00,99.38
2024-01-05 08:00:00,105.16
2024-01-05 09:00:00,93.06
2024-01-05 10:00:00,99.69
2024-01-05 11:00:00,82.53
2024-01-05 12:00:00,87.42
2024-01-05 13:00:00,70.08
2024-01-05 14:00:00,73.07
2024-01-05 15:00:00,61.25
2024-01-05 16:00:00,59.48
2024-01-05 17:00:00,61.02
2024-01-05 18:00:00,67.03
2024-01-05 19:00:00,56.24
2024-01-05 20:00:00,65.58
2024-01-05 21:00:00,64.31
2024-01-05 22:00:00,72.29
2024-01-05 23:00:00,75.93
2024-01-06 00:00:00,86.46
2024-01-06 01:00:00,93.42
2024-01-06 02:00:00,101.12
2024-01-06 03:00:00,101.7
2024-01-06 04:00:00,107.64
2024-01-06 05:00:00,116.44
2024-01-06 06:00:00,106.22
2024-01-06 07:00:00,110.29
2024-01-06 08:00:00,109.75
2024-01-06 09:00:00,104.66
2024-01-06 10:00:00,99.62
2024-01-06 11:00:00,98.21
2024-01-06 12:00:00,84.41
2024-01-06 13:00:00,86.69
2024-01-06 14:00:00,74.96
2024-01-06 15:00:00,71.74
2024-01-06 16:00:00,81.16
2024-01-06 17:00:00,77.77
2024-01-06 18:00:00,61.58
2024-01-06 19:00:00,65.26
2024-01-06 20:00:00,75.11
2024-01-06 21:00:00,77.69
2024-01-06 22:00:00,68.51
2024-01-06 23:00:00,78.7
2024-01-07 00:00:00,87.58
2024-01-07 01:00:00,101.31
2024-01-07 02:00:00,97.59
2024-01-07 03:00:00,108.43
2024-01-07 04:00:00,119.93
2024-01-07 05:00:00,106.15
2024-01-07 06:00:00,112.53
2024-01-07 07:00:00,109.66
2024-01-07 08:00:00,116.04
2024-01-07 09:00:00,110.96
2024-01-07 10:00:00,97.09
2024-01-07 11:00:00,89.03
2024-01-07 12:00:00,86.96
2024-01-07 13:00:00,91.79
2024-01-07 14:00:00,76.15
2024-01-07 15:00:00,76.17
2024-01-07 16:00:00,66.89
2024-01-07 17:00:00,70.43
2024-01-07 18:00:00,67.3
2024-01-07 19:00:00,62.55
2024-01-07 20:00:00,62.32
2024-01-07 21:00:00,81.76
2024-01-07 22:00:00,76.2
2024-01-07 23:00:00,84.8
2024-01-08 00:00:00,76.65
2024-01-08 01:00:00,88.69
2024-01-08 02:00:00,92.6
2024-01-08 03:00:00,89.2
2024-01-08 04:00:00,94.93
2024-01-08 05:00:00,93.34
2024-01-08 06:00:00,89.62
2024-01-08 07:00:00,100.74
2024-01-08 08:00:00,92.98
2024-01-08 09:00:00,95.12
2024-01-08 10:00:00,94.39
2024-01-08 11:00:00,82.33
2024-01-08 12:00:00,81.44
2024-01-08 13:00:00,73.26
2024-01-08 14:00:00,72.31
2024-01-08 15:00:00,65.42
2024-01-08 16:00:00,60.89
2024-01-08 17:00:00,55.21
2024-01-08 18:00:00,66.86
2024-01-08 19:00:00,59.89
2024-01-08 20:00:00,56.64
2024-01-08 21:00:00,62.64
2024-01-08 22:00:00,71.76
2024-01-08 23:00:00,80.19
2024-01-09 00:00:00,87.96
2024-01-09 01:00:00,91.88
2024-01-09 02:00:00,85.51
2024-01-09 03:00:00,97.64
2024-01-09 04:00:00,91.25
2024-01-09 05:00:00,100.28
2024-01-09 06:00:00,88.04
2024-01-09 07:00:00,104.44
2024-01-09 08:00:00,94.84
2024-01-09 09:00:00,95.1
2024-01-09 10:00:00,89.83
2024-01-09 11:00:00,83.85
2024-01-09 12:00:00,74.14
2024-01-09 13:00:00,72.48
2024-01-09 14:00:00,69.21
2024-01-09 15:00:00,66.96
2024-01-09 16:00:00,63.38
2024-01-09 17:00:00,63.43
2024-01-09 18:00:00,64.74
2024-01-09 19:00:00,62.51
2024-01-09 20:00:00,60.76
2024-01-09 21:00:00,64.76
2024-01-09 22:00:00,65.94
2024-01-09 23:00:00,74.08
2024-01-10 00:00:00,73.86
2024-01-10 01:00:00,81.49
2024-01-10 02:00:00,92.41
2024-01-10 03:00:00,95.63
2024-01-10 04:00:00,104.65
2024-01-10 05:00:00,97.45
2024-01-10 06:00:00,93.27
2024-01-10 07:00:00,103.69
2024-01-10 08:00:00,96.16
2024-01-10 09:00:00,86.91
2024-01-10 10:00:00,90.6
2024-01-10 11:00:00,82.59
2024-01-10 12:00:00,85.41
